========== HORIZONTAL BEGIN ==========
row = 3, col = 16, congestion_value = 1.13043, demand = 26, supply = 23
row = 3, col = 19, congestion_value = 1.08696, demand = 25, supply = 23
row = 5, col = 18, congestion_value = 1.04348, demand = 24, supply = 23
row = 5, col = 19, congestion_value = 1.21739, demand = 28, supply = 23
row = 6, col = 12, congestion_value = 1.04348, demand = 24, supply = 23
row = 6, col = 16, congestion_value = 1.08696, demand = 25, supply = 23
row = 6, col = 19, congestion_value = 1.3913, demand = 32, supply = 23
row = 6, col = 32, congestion_value = 1.08696, demand = 25, supply = 23
row = 7, col = 19, congestion_value = 1.34783, demand = 31, supply = 23
row = 7, col = 34, congestion_value = 1.26087, demand = 29, supply = 23
row = 7, col = 41, congestion_value = 1.08696, demand = 25, supply = 23
row = 8, col = 16, congestion_value = 1.04348, demand = 24, supply = 23
row = 8, col = 19, congestion_value = 1.13043, demand = 26, supply = 23
row = 8, col = 34, congestion_value = 1.26087, demand = 29, supply = 23
row = 9, col = 17, congestion_value = 1.26087, demand = 29, supply = 23
row = 9, col = 20, congestion_value = 1.17391, demand = 27, supply = 23
row = 9, col = 21, congestion_value = 1.04348, demand = 24, supply = 23
row = 9, col = 34, congestion_value = 1.04348, demand = 24, supply = 23
row = 10, col = 17, congestion_value = 1.26087, demand = 29, supply = 23
row = 10, col = 20, congestion_value = 1.21739, demand = 28, supply = 23
row = 10, col = 27, congestion_value = 1.04348, demand = 24, supply = 23
row = 10, col = 34, congestion_value = 1.04348, demand = 24, supply = 23
row = 11, col = 17, congestion_value = 1.08696, demand = 25, supply = 23
row = 11, col = 19, congestion_value = 1.04348, demand = 24, supply = 23
row = 11, col = 20, congestion_value = 1.08696, demand = 25, supply = 23
row = 11, col = 27, congestion_value = 1.08696, demand = 25, supply = 23
row = 11, col = 33, congestion_value = 1.17391, demand = 27, supply = 23
row = 11, col = 34, congestion_value = 1.17391, demand = 27, supply = 23
row = 12, col = 13, congestion_value = 1.04348, demand = 24, supply = 23
row = 12, col = 17, congestion_value = 1.08696, demand = 25, supply = 23
row = 12, col = 27, congestion_value = 1.08696, demand = 25, supply = 23
row = 12, col = 33, congestion_value = 1.17391, demand = 27, supply = 23
row = 12, col = 34, congestion_value = 1.43478, demand = 33, supply = 23
row = 12, col = 38, congestion_value = 1.08696, demand = 25, supply = 23
row = 13, col = 13, congestion_value = 1.17391, demand = 27, supply = 23
row = 13, col = 18, congestion_value = 1.04348, demand = 24, supply = 23
row = 13, col = 27, congestion_value = 1.04348, demand = 24, supply = 23
row = 13, col = 29, congestion_value = 1.08696, demand = 25, supply = 23
row = 13, col = 33, congestion_value = 1.13043, demand = 26, supply = 23
row = 13, col = 34, congestion_value = 1.3913, demand = 32, supply = 23
row = 14, col = 12, congestion_value = 1.04348, demand = 24, supply = 23
row = 14, col = 13, congestion_value = 1.17391, demand = 27, supply = 23
row = 14, col = 18, congestion_value = 1.17391, demand = 27, supply = 23
row = 14, col = 21, congestion_value = 1.04348, demand = 24, supply = 23
row = 14, col = 33, congestion_value = 1.26087, demand = 29, supply = 23
row = 14, col = 34, congestion_value = 1.43478, demand = 33, supply = 23
row = 14, col = 36, congestion_value = 1.17391, demand = 27, supply = 23
row = 15, col = 13, congestion_value = 1.08696, demand = 25, supply = 23
row = 15, col = 16, congestion_value = 1.04348, demand = 24, supply = 23
row = 15, col = 18, congestion_value = 1.34783, demand = 31, supply = 23
row = 15, col = 20, congestion_value = 1.04348, demand = 24, supply = 23
row = 15, col = 32, congestion_value = 1.04348, demand = 24, supply = 23
row = 15, col = 34, congestion_value = 1.13043, demand = 26, supply = 23
row = 15, col = 38, congestion_value = 1.04348, demand = 24, supply = 23
row = 15, col = 44, congestion_value = 1.17391, demand = 27, supply = 23
row = 16, col = 12, congestion_value = 1.17391, demand = 27, supply = 23
row = 16, col = 13, congestion_value = 1.43478, demand = 33, supply = 23
row = 16, col = 14, congestion_value = 1.13043, demand = 26, supply = 23
row = 16, col = 18, congestion_value = 1.17391, demand = 27, supply = 23
row = 16, col = 19, congestion_value = 1.04348, demand = 24, supply = 23
row = 16, col = 20, congestion_value = 1.04348, demand = 24, supply = 23
row = 16, col = 21, congestion_value = 1.08696, demand = 25, supply = 23
row = 16, col = 32, congestion_value = 1.08696, demand = 25, supply = 23
row = 16, col = 34, congestion_value = 1.13043, demand = 26, supply = 23
row = 17, col = 7, congestion_value = 1.08696, demand = 25, supply = 23
row = 17, col = 10, congestion_value = 1.13043, demand = 26, supply = 23
row = 17, col = 11, congestion_value = 1.08696, demand = 25, supply = 23
row = 17, col = 12, congestion_value = 1.3913, demand = 32, supply = 23
row = 17, col = 13, congestion_value = 1.6087, demand = 37, supply = 23
row = 17, col = 14, congestion_value = 1.26087, demand = 29, supply = 23
row = 17, col = 18, congestion_value = 1.08696, demand = 25, supply = 23
row = 17, col = 20, congestion_value = 1.21739, demand = 28, supply = 23
row = 17, col = 21, congestion_value = 1.08696, demand = 25, supply = 23
row = 17, col = 27, congestion_value = 1.26087, demand = 29, supply = 23
row = 17, col = 29, congestion_value = 1.08696, demand = 25, supply = 23
row = 17, col = 32, congestion_value = 1.21739, demand = 28, supply = 23
row = 17, col = 34, congestion_value = 1.21739, demand = 28, supply = 23
row = 17, col = 38, congestion_value = 1.21739, demand = 28, supply = 23
row = 18, col = 10, congestion_value = 1.17391, demand = 27, supply = 23
row = 18, col = 11, congestion_value = 1.17391, demand = 27, supply = 23
row = 18, col = 12, congestion_value = 1.3913, demand = 32, supply = 23
row = 18, col = 13, congestion_value = 1.69565, demand = 39, supply = 23
row = 18, col = 14, congestion_value = 1.04348, demand = 24, supply = 23
row = 18, col = 15, congestion_value = 1.17391, demand = 27, supply = 23
row = 18, col = 16, congestion_value = 1.04348, demand = 24, supply = 23
row = 18, col = 18, congestion_value = 1.30435, demand = 30, supply = 23
row = 18, col = 20, congestion_value = 1.26087, demand = 29, supply = 23
row = 18, col = 21, congestion_value = 1.04348, demand = 24, supply = 23
row = 18, col = 27, congestion_value = 1.26087, demand = 29, supply = 23
row = 18, col = 29, congestion_value = 1.17391, demand = 27, supply = 23
row = 18, col = 32, congestion_value = 1.34783, demand = 31, supply = 23
row = 18, col = 34, congestion_value = 1.08696, demand = 25, supply = 23
row = 19, col = 10, congestion_value = 1.13043, demand = 26, supply = 23
row = 19, col = 11, congestion_value = 1.17391, demand = 27, supply = 23
row = 19, col = 12, congestion_value = 1.56522, demand = 36, supply = 23
row = 19, col = 13, congestion_value = 1.86957, demand = 43, supply = 23
row = 19, col = 14, congestion_value = 1.08696, demand = 25, supply = 23
row = 19, col = 15, congestion_value = 1.3913, demand = 32, supply = 23
row = 19, col = 16, congestion_value = 1.17391, demand = 27, supply = 23
row = 19, col = 18, congestion_value = 1.3913, demand = 32, supply = 23
row = 19, col = 20, congestion_value = 1.30435, demand = 30, supply = 23
row = 19, col = 27, congestion_value = 1.30435, demand = 30, supply = 23
row = 19, col = 29, congestion_value = 1.17391, demand = 27, supply = 23
row = 19, col = 32, congestion_value = 1.47826, demand = 34, supply = 23
row = 19, col = 40, congestion_value = 1.04348, demand = 24, supply = 23
row = 20, col = 10, congestion_value = 1.13043, demand = 26, supply = 23
row = 20, col = 11, congestion_value = 1.13043, demand = 26, supply = 23
row = 20, col = 12, congestion_value = 1.43478, demand = 33, supply = 23
row = 20, col = 13, congestion_value = 1.6087, demand = 37, supply = 23
row = 20, col = 14, congestion_value = 1.17391, demand = 27, supply = 23
row = 20, col = 15, congestion_value = 1.34783, demand = 31, supply = 23
row = 20, col = 16, congestion_value = 1.43478, demand = 33, supply = 23
row = 20, col = 17, congestion_value = 1.04348, demand = 24, supply = 23
row = 20, col = 18, congestion_value = 1.26087, demand = 29, supply = 23
row = 20, col = 20, congestion_value = 1.30435, demand = 30, supply = 23
row = 20, col = 27, congestion_value = 1.21739, demand = 28, supply = 23
row = 20, col = 29, congestion_value = 1.17391, demand = 27, supply = 23
row = 20, col = 32, congestion_value = 1.47826, demand = 34, supply = 23
row = 21, col = 9, congestion_value = 1.04348, demand = 24, supply = 23
row = 21, col = 10, congestion_value = 1.04348, demand = 24, supply = 23
row = 21, col = 11, congestion_value = 1.13043, demand = 26, supply = 23
row = 21, col = 12, congestion_value = 1.13043, demand = 26, supply = 23
row = 21, col = 13, congestion_value = 1.56522, demand = 36, supply = 23
row = 21, col = 14, congestion_value = 1.3913, demand = 32, supply = 23
row = 21, col = 15, congestion_value = 1.47826, demand = 34, supply = 23
row = 21, col = 16, congestion_value = 1.3913, demand = 32, supply = 23
row = 21, col = 18, congestion_value = 1.21739, demand = 28, supply = 23
row = 21, col = 20, congestion_value = 1.17391, demand = 27, supply = 23
row = 21, col = 22, congestion_value = 1.08696, demand = 25, supply = 23
row = 21, col = 26, congestion_value = 1.04348, demand = 24, supply = 23
row = 21, col = 29, congestion_value = 1.26087, demand = 29, supply = 23
row = 21, col = 32, congestion_value = 1.65217, demand = 38, supply = 23
row = 21, col = 38, congestion_value = 1.08696, demand = 25, supply = 23
row = 22, col = 11, congestion_value = 1.43478, demand = 33, supply = 23
row = 22, col = 12, congestion_value = 1.34783, demand = 31, supply = 23
row = 22, col = 13, congestion_value = 1.47826, demand = 34, supply = 23
row = 22, col = 14, congestion_value = 1.34783, demand = 31, supply = 23
row = 22, col = 15, congestion_value = 1.13043, demand = 26, supply = 23
row = 22, col = 16, congestion_value = 1.13043, demand = 26, supply = 23
row = 22, col = 18, congestion_value = 1.21739, demand = 28, supply = 23
row = 22, col = 20, congestion_value = 1.26087, demand = 29, supply = 23
row = 22, col = 26, congestion_value = 1.13043, demand = 26, supply = 23
row = 22, col = 29, congestion_value = 1.08696, demand = 25, supply = 23
row = 22, col = 32, congestion_value = 1.6087, demand = 37, supply = 23
row = 23, col = 11, congestion_value = 1.34783, demand = 31, supply = 23
row = 23, col = 12, congestion_value = 1.17391, demand = 27, supply = 23
row = 23, col = 13, congestion_value = 1.6087, demand = 37, supply = 23
row = 23, col = 14, congestion_value = 1.52174, demand = 35, supply = 23
row = 23, col = 15, congestion_value = 1.30435, demand = 30, supply = 23
row = 23, col = 16, congestion_value = 1.21739, demand = 28, supply = 23
